indicator,region,unit,year,value,source
Age moyen à la procréation (AMP),TCHAD,Number,2009,29.9,INSEED - Demography
Espérance de vie femmes,TCHAD,Year,1993,54.5,INSEED - Demography
Espérance de vie femmes,TCHAD,Year,2009,53.4,INSEED - Demography
Espérance de vie hommes,TCHAD,Year,1993,47.0,INSEED - Demography
Espérance de vie hommes,TCHAD,Year,2009,51.6,INSEED - Demography
Espérance de vie totale,TCHAD,Year,1993,50.3,INSEED - Demography
Espérance de vie totale,TCHAD,Year,2009,52.4,INSEED - Demography
Espérance de vie totale,TCHAD,Year,2015,52.9,INSEED - Demography
Indice Synthétique de Fécondité (ISF),TCHAD,Child,1993,6.5,INSEED - Demography
Indice Synthétique de Fécondité (ISF),TCHAD,Child,1996,6.6,INSEED - Demography
Indice Synthétique de Fécondité (ISF),TCHAD,Child,2004,6.3,INSEED - Demography
Indice Synthétique de Fécondité (ISF),TCHAD,Child,2009,7.1,INSEED - Demography
Indice Synthétique de Fécondité (ISF),TCHAD,Child,2010,6.9,INSEED - Demography
Indice Synthétique de Fécondité (ISF),TCHAD,Child,2015,6.4,INSEED - Demography
Indice Synthétique de Fécondité (ISF),TCHAD,Child,2019,6.4,INSEED - Demography
Prévalence de la contraception (ensemble des méthodes),TCHAD,,2009,4.8,INSEED - Demography
Prévalence du VIH/SIDA dans la population adulte,TCHAD,Percent,2009,3.4,INSEED - Demography
Taux Brut de Mortalité (TBM),TCHAD,Percent,1993,16.3,INSEED - Demography
Taux Brut de Mortalité (TBM),TCHAD,Percent,2009,14.8,INSEED - Demography
Taux Brut de Mortalité (TBM),TCHAD,Percent,2015,13.6,INSEED - Demography
Taux Brut de Natalité (TBN),TCHAD,Percent,1993,40.9,INSEED - Demography
Taux Brut de Natalité (TBN),TCHAD,Percent,1996,48.0,INSEED - Demography
Taux Brut de Natalité (TBN),TCHAD,Percent,2004,45.0,INSEED - Demography
Taux Brut de Natalité (TBN),TCHAD,Percent,2009,49.6,INSEED - Demography
Taux Brut de Natalité (TBN),TCHAD,Percent,2015,47.9,INSEED - Demography
Taux Brut de Reproduction,TCHAD,Percent,2009,3.5,INSEED - Demography
Taux d'Accroissement Naturel(TAN),TCHAD,Percent,2009,3.6,INSEED - Demography
Taux d'Accroissement Naturel(TAN),TCHAD,Percent,2015,3.43,INSEED - Demography
Taux de Croissance annuelle(TC),TCHAD,Percent,2009,3.5,INSEED - Demography
Taux de Croissance annuelle(TC),TCHAD,Percent,2015,3.4,INSEED - Demography
Taux de Mortalité Infantile,TCHAD,Percent,1993,160.0,INSEED - Demography
Taux de Mortalité Infantile,TCHAD,Percent,1996,103.0,INSEED - Demography
Taux de Mortalité Infantile,TCHAD,Percent,2000,105.0,INSEED - Demography
Taux de Mortalité Infantile,TCHAD,Percent,2004,102.0,INSEED - Demography
Taux de Mortalité Infantile,TCHAD,Percent,2009,98.0,INSEED - Demography
Taux de Mortalité Infantile,TCHAD,Percent,2010,106.0,INSEED - Demography
Taux de Mortalité Infanto-Juvénile,TCHAD,Percent,1993,223.0,INSEED - Demography
Taux de Mortalité Infanto-Juvénile,TCHAD,Percent,1996,194.0,INSEED - Demography
Taux de Mortalité Infanto-Juvénile,TCHAD,Percent,2000,194.0,INSEED - Demography
Taux de Mortalité Infanto-Juvénile,TCHAD,Percent,2004,191.0,INSEED - Demography
Taux de Mortalité Infanto-Juvénile,TCHAD,Percent,2009,161.0,INSEED - Demography
Taux de Mortalité Infanto-Juvénile,TCHAD,Percent,2010,175.0,INSEED - Demography
Temps de doublement,TCHAD,,2009,19.0,INSEED - Demography
Couverture vaccinale contre l’hépatite B,TCHAD,Percent,2010,0.111,INSEED - Disease
Couverture vaccinale de la DCTcoq,TCHAD,Percent,1996,0.391,INSEED - Disease
Couverture vaccinale de la DCTcoq,TCHAD,Percent,2000,0.207,INSEED - Disease
Couverture vaccinale de la DCTcoq,TCHAD,Percent,2004,0.2,INSEED - Disease
Couverture vaccinale de la DCTcoq,TCHAD,Percent,2010,0.155,INSEED - Disease
Couverture vaccinale de la DCTcoq,TCHAD,Percent,2014,58.3,INSEED - Disease
Couverture vaccinale de la fièvre jaune,TCHAD,Percent,1996,0.247,INSEED - Disease
Couverture vaccinale de la fièvre jaune,TCHAD,Percent,2000,0.309,INSEED - Disease
Couverture vaccinale de la fièvre jaune,TCHAD,Percent,2010,0.255,INSEED - Disease
Couverture vaccinale de la fièvre jaune,TCHAD,Percent,2014,43.5,INSEED - Disease
Couverture vaccinale de la polio,TCHAD,Percent,1996,0.534,INSEED - Disease
Couverture vaccinale de la polio,TCHAD,Percent,2000,0.505,INSEED - Disease
Couverture vaccinale de la polio,TCHAD,Percent,2004,0.36,INSEED - Disease
Couverture vaccinale de la polio,TCHAD,Percent,2010,0.25,INSEED - Disease
Couverture vaccinale de la polio,TCHAD,Percent,2014,76.3,INSEED - Disease
Couverture vaccinale de la rougeole,TCHAD,Percent,1996,0.228,INSEED - Disease
Couverture vaccinale de la rougeole,TCHAD,Percent,2000,0.297,INSEED - Disease
Couverture vaccinale de la rougeole,TCHAD,Percent,2004,0.23,INSEED - Disease
Couverture vaccinale de la rougeole,TCHAD,Percent,2010,0.36,INSEED - Disease
Couverture vaccinale de la rougeole,TCHAD,Percent,2014,0.569,INSEED - Disease
Couverture vaccinale du BCG,TCHAD,Percent,1996,0.388,INSEED - Disease
Couverture vaccinale du BCG,TCHAD,Percent,2000,0.454,INSEED - Disease
Couverture vaccinale du BCG,TCHAD,Percent,2004,0.4,INSEED - Disease
Couverture vaccinale du BCG,TCHAD,Percent,2010,0.438,INSEED - Disease
Couverture vaccinale du BCG,TCHAD,Percent,2014,59.6,INSEED - Disease
NUTRITION,TCHAD,,2018,0.6,INSEED - Disease
Naissances enregistrées (pour 1 000),TCHAD,Number,2010,15.7,INSEED - Disease
Pourcentage d'accouchemnts assistés par du personnel de santé,TCHAD,Percent,1996,0.24,INSEED - Disease
Pourcentage d'accouchemnts assistés par du personnel de santé,TCHAD,Percent,2000,0.162,INSEED - Disease
Pourcentage d'accouchemnts assistés par du personnel de santé,TCHAD,Percent,2004,0.21,INSEED - Disease
Pourcentage d'accouchemnts assistés par du personnel de santé,TCHAD,Percent,2010,0.227,INSEED - Disease
Pourcentage d'accouchemnts assistés par du personnel de santé,TCHAD,Percent,2014,0.243,INSEED - Disease
Pourcentage d'accouchemnts assistés par du personnel de santé,TCHAD,Percent,2018,0.472,INSEED - Disease
Pourcentage d'enfants complètement vaccinés,TCHAD,Percent,1996,0.111,INSEED - Disease
Pourcentage d'enfants complètement vaccinés,TCHAD,Percent,2014,22.9,INSEED - Disease
Pourcentage de mèers ayant fourni au mois un soin prénatal (%),TCHAD,Percent,1996,0.16,INSEED - Disease
Pourcentage de mèers ayant fourni au mois un soin prénatal (%),TCHAD,Percent,2000,0.416,INSEED - Disease
Pourcentage de mèers ayant fourni au mois un soin prénatal (%),TCHAD,Percent,2004,0.43,INSEED - Disease
Pourcentage de mèers ayant fourni au mois un soin prénatal (%),TCHAD,Percent,2010,0.532,INSEED - Disease
Pourcentage de mèers ayant fourni au mois un soin prénatal (%),TCHAD,Percent,2014,63.7,INSEED - Disease
Protection des enfants contre le tétanos néonatal,TCHAD,Percent,2000,0.385,INSEED - Disease
Protection des enfants contre le tétanos néonatal,TCHAD,Percent,2004,0.29,INSEED - Disease
Protection des enfants contre le tétanos néonatal,TCHAD,Percent,2010,0.431,INSEED - Disease
Protection des enfants contre le tétanos néonatal,TCHAD,Percent,2014,0.56,INSEED - Disease
Prévalence de l'obésité,TCHAD,Percent,2018,2.3,INSEED - Disease
Prévalence de l'émaciation,TCHAD,Percent,1996,14.0,INSEED - Disease
Prévalence de l'émaciation,TCHAD,Percent,2000,0.117,INSEED - Disease
Prévalence de l'émaciation,TCHAD,Percent,2004,0.14,INSEED - Disease
Prévalence de l'émaciation,TCHAD,Percent,2010,15.7,INSEED - Disease
Prévalence de l'émaciation,TCHAD,Percent,2014,13.0,INSEED - Disease
Prévalence de l'émaciation,TCHAD,Percent,2018,13.9,INSEED - Disease
Prévalence de la sous-alimentation,TCHAD,Percent,1996,39.0,INSEED - Disease
Prévalence de la sous-alimentation,TCHAD,Percent,2000,0.276,INSEED - Disease
Prévalence de la sous-alimentation,TCHAD,Percent,2004,37.0,INSEED - Disease
Prévalence de la sous-alimentation,TCHAD,Percent,2010,30.3,INSEED - Disease
Prévalence de la sous-alimentation,TCHAD,Percent,2014,28.8,INSEED - Disease
Prévalence de la sous-alimentation,TCHAD,Percent,2018,29.2,INSEED - Disease
Prévalence des maladies,TCHAD,Percent,1996,0.0,INSEED - Disease
Prévalence du retard de croissance,TCHAD,Percent,1996,40.0,INSEED - Disease
Prévalence du retard de croissance,TCHAD,Percent,2000,0.283,INSEED - Disease
Prévalence du retard de croissance,TCHAD,Percent,2004,0.41,INSEED - Disease
Prévalence du retard de croissance,TCHAD,Percent,2010,38.7,INSEED - Disease
Prévalence du retard de croissance,TCHAD,Percent,2014,40.0,INSEED - Disease
Prévalence du retard de croissance,TCHAD,Percent,2018,37.8,INSEED - Disease
Taux d'insuffisance pondérale modérée 6 à 59 mois (%),TCHAD,Percent,2014,15.5,INSEED - Disease
Taux d'insuffisance pondérale sévère 6 à 59 mois (%),TCHAD,Percent,2014,6.5,INSEED - Disease
Taux d'insuffisance pondérale sévère 6 à 59 mois (%),TCHAD,Percent,2018,16.0,INSEED - Disease
Taux de couverture en vaccin antirougeoleux (%),TCHAD,Percent,2014,66.1,INSEED - Disease
Taux de malnutrition aiguë modérée (6-59 mois),TCHAD,Percent,2014,8.9,INSEED - Disease
Taux de malnutrition aiguë sévère (6-59 mois),TCHAD,Percent,2014,2.8,INSEED - Disease
Taux de malnutrition chronique sévère (0-59) mois),TCHAD,Percent,2014,11.0,INSEED - Disease
"Taux de malnutrition chronique, modérée (0-59 mois)",TCHAD,Percent,2014,18.0,INSEED - Disease
Taux de mortalité des moins de 5 ans,TCHAD,Percent,1996,194.0,INSEED - Disease
Taux de mortalité des moins de 5 ans,TCHAD,Percent,2000,194.0,INSEED - Disease
Taux de mortalité des moins de 5 ans,TCHAD,Percent,2004,191.0,INSEED - Disease
Taux de mortalité des moins de 5 ans,TCHAD,Percent,2010,175.0,INSEED - Disease
Taux de mortalité des moins de 5 ans,TCHAD,Percent,2014,133.0,INSEED - Disease
Taux de mortalité des moins de 5 ans,TCHAD,Percent,2018,122.0,INSEED - Disease
Taux de mortalité due au paludisme (parmi toutes les causes de mortalité chez les 0-5 ans),TCHAD,,2014,0.51,INSEED - Disease
Taux de mortalité due au paludisme (parmi toutes les causes de mortalité chez les 0-5 ans),TCHAD,,2018,8.7,INSEED - Disease
Taux de mortalité infantile (%)(0 à 11 mois),TCHAD,Percent,2014,72.0,INSEED - Disease
Taux de mortalité infantile (%)(0 à 11 mois),TCHAD,Percent,2018,0.96,INSEED - Disease
Taux de mortalité infantile ou taux de mortalité néonatale,TCHAD,Percent,1996,103.0,INSEED - Disease
Taux de mortalité infantile ou taux de mortalité néonatale,TCHAD,Percent,2000,105.0,INSEED - Disease
Taux de mortalité infantile ou taux de mortalité néonatale,TCHAD,Percent,2004,102.0,INSEED - Disease
Taux de mortalité infantile ou taux de mortalité néonatale,TCHAD,Percent,2010,106.0,INSEED - Disease
Taux de mortalité infantile ou taux de mortalité néonatale,TCHAD,Percent,2014,72.0,INSEED - Disease
Taux de mortalité infantile ou taux de mortalité néonatale,TCHAD,Percent,2018,78.0,INSEED - Disease
Taux de mortalité maternelle pour 100 000 naissance,TCHAD,Number,1996,827.0,INSEED - Disease
Taux de mortalité maternelle pour 100 000 naissance,TCHAD,Number,2014,860.0,INSEED - Disease
Taux de natalité chez les adolescentes,TCHAD,Percent,2010,203.4,INSEED - Disease
Taux de natalité chez les adolescentes,TCHAD,Percent,2014,179.4,INSEED - Disease
Taux de natalité chez les adolescentes,TCHAD,Percent,2018,138.0,INSEED - Disease
Taux de prévalence contraceptive,TCHAD,Percent,1996,0.04,INSEED - Disease
Taux de prévalence contraceptive,TCHAD,Percent,2000,0.079,INSEED - Disease
Taux de prévalence contraceptive,TCHAD,Percent,2010,0.048,INSEED - Disease
Taux de prévalence contraceptive,TCHAD,Percent,2014,0.057,INSEED - Disease
Taux de prévalence contraceptive,TCHAD,Percent,2018,0.081,INSEED - Disease
Autres catégories,TCHAD,Percent,2011,2.6,INSEED - Employment & Poverty
Autres catégories,TCHAD,Percent,2018,2.2,INSEED - Employment & Poverty
Autres milieux urbains,TCHAD,Percent,2011,2.4,INSEED - Employment & Poverty
Autres milieux urbains,TCHAD,Percent,2018,2.0,INSEED - Employment & Poverty
Catégorie socio professionnelle du chef de ménage,TCHAD,Percent,2011,2.7,INSEED - Employment & Poverty
Catégorie socio professionnelle du chef de ménage,TCHAD,Percent,2018,2.5,INSEED - Employment & Poverty
Incidence,TCHAD,Percent,2011,46.7,INSEED - Employment & Poverty
Incidence,TCHAD,Percent,2018,42.3,INSEED - Employment & Poverty
Indice GINI,TCHAD,Percent,2018,0.34,INSEED - Employment & Poverty
Masculin,TCHAD,Percent,2011,3.6,INSEED - Employment & Poverty
Masculin,TCHAD,Percent,2018,2.1,INSEED - Employment & Poverty
Moyen pauvre,TCHAD,Number,2011,871476.0,INSEED - Employment & Poverty
Moyen pauvre,TCHAD,Number,2018,1298238.0,INSEED - Employment & Poverty
Moyen riche,TCHAD,Number,2011,1962810.0,INSEED - Employment & Poverty
Moyen riche,TCHAD,Number,2018,2094186.0,INSEED - Employment & Poverty
Médian,TCHAD,Number,2011,1680843.0,INSEED - Employment & Poverty
Médian,TCHAD,Number,2018,1651325.0,INSEED - Employment & Poverty
N'Djaména,TCHAD,Percent,2011,3.3,INSEED - Employment & Poverty
N'Djaména,TCHAD,Percent,2018,2.5,INSEED - Employment & Poverty
Plus pauvre,TCHAD,Number,2011,534361.0,INSEED - Employment & Poverty
Plus pauvre,TCHAD,Number,2018,915333.0,INSEED - Employment & Poverty
Plus riche,TCHAD,Number,2011,3289419.0,INSEED - Employment & Poverty
Plus riche,TCHAD,Number,2018,3118199.0,INSEED - Employment & Poverty
Profondeur,TCHAD,Percent,2011,26.3,INSEED - Employment & Poverty
Profondeur,TCHAD,Percent,2018,12.6,INSEED - Employment & Poverty
Rapport de dépendance économique total,TCHAD,Percent,2011,3.6,INSEED - Employment & Poverty
Rapport de dépendance économique total,TCHAD,Percent,2018,3.3,INSEED - Employment & Poverty
Rural,TCHAD,Percent,2018,2.2,INSEED - Employment & Poverty
Sexe du chef de ménage,TCHAD,Percent,2011,2.4,INSEED - Employment & Poverty
Sexe du chef de ménage,TCHAD,Percent,2018,2.2,INSEED - Employment & Poverty
Sévérité,TCHAD,Percent,2011,15.9,INSEED - Employment & Poverty
Sévérité,TCHAD,Percent,2018,5.2,INSEED - Employment & Poverty
Taux d'emploi,TCHAD,Percent,2003,0.448,INSEED - Employment & Poverty
Taux d'emploi,TCHAD,Percent,2011,61.8,INSEED - Employment & Poverty
Taux d'emploi,TCHAD,Percent,2018,0.6,INSEED - Employment & Poverty
Taux de chômage,TCHAD,Percent,2003,0.226,INSEED - Employment & Poverty
Taux de chômage,TCHAD,Percent,2011,0.057,INSEED - Employment & Poverty
Taux de chômage,TCHAD,Percent,2018,0.02,INSEED - Employment & Poverty
Taux de pauvreté,TCHAD,Percent,2003,0.55,INSEED - Employment & Poverty
Taux de pauvreté,TCHAD,Percent,2011,0.467,INSEED - Employment & Poverty
Taux de pauvreté,TCHAD,Percent,2018,0.423,INSEED - Employment & Poverty
patron/propre compte,TCHAD,Percent,2011,5.5,INSEED - Employment & Poverty
patron/propre compte,TCHAD,Percent,2018,4.2,INSEED - Employment & Poverty
salarié,TCHAD,Percent,2011,1.6,INSEED - Employment & Poverty
salarié,TCHAD,Percent,2018,2.0,INSEED - Employment & Poverty
"Exports (not including petrol), value",TCHAD,Francs CFA,2005,93611000000.0,INSEED - Exports
"Exports (not including petrol), value",TCHAD,Francs CFA,2006,127884000000.0,INSEED - Exports
"Exports (not including petrol), value",TCHAD,Francs CFA,2007,55788000000.0,INSEED - Exports
"Exports (not including petrol), value",TCHAD,Francs CFA,2008,40370000000.0,INSEED - Exports
"Exports (not including petrol), value",TCHAD,Francs CFA,2009,38016000000.0,INSEED - Exports
"Exports (not including petrol), value",TCHAD,Francs CFA,2010,32832000000.0,INSEED - Exports
"Exports (not including petrol), value",TCHAD,Francs CFA,2011,45854000000.0,INSEED - Exports
"Exports (not including petrol), value",TCHAD,Francs CFA,2012,55269000000.0,INSEED - Exports
"Exports (not including petrol), value",TCHAD,Francs CFA,2013,63692000000.0,INSEED - Exports
"Exports (not including petrol), value",TCHAD,Francs CFA,2014,32480000000.0,INSEED - Exports
"Exports (not including petrol), value",TCHAD,Francs CFA,2015,325384000000.0,INSEED - Exports
"Exports (not including petrol), value",TCHAD,Francs CFA,2016,183041000000.0,INSEED - Exports
"Exports (not including petrol), value",TCHAD,Francs CFA,2017,100542760000.0,INSEED - Exports
"Exports (not including petrol), value",TCHAD,Francs CFA,2018,96241180000.0,INSEED - Exports
"Exports (not including petrol), value",TCHAD,Francs CFA,2019,103011000000.0,INSEED - Exports
"Exports (not including petrol), value",TCHAD,Francs CFA,2020,106542178000.0,INSEED - Exports
"Exports (not including petrol), volume",TCHAD,tonnes,2005,413453.0,INSEED - Exports
"Exports (not including petrol), volume",TCHAD,tonnes,2006,347523.0,INSEED - Exports
"Exports (not including petrol), volume",TCHAD,tonnes,2009,79102.57,INSEED - Exports
"Exports (not including petrol), volume",TCHAD,tonnes,2010,87718993.0,INSEED - Exports
"Exports (not including petrol), volume",TCHAD,tonnes,2011,99487.0,INSEED - Exports
"Exports (not including petrol), volume",TCHAD,tonnes,2012,13747580.0,INSEED - Exports
"Exports (not including petrol), volume",TCHAD,tonnes,2013,146421.0,INSEED - Exports
"Exports (not including petrol), volume",TCHAD,tonnes,2014,64076.0,INSEED - Exports
"Exports (not including petrol), volume",TCHAD,tonnes,2015,221257.0,INSEED - Exports
"Exports (not including petrol), volume",TCHAD,tonnes,2016,201194.0,INSEED - Exports
"Exports (not including petrol), volume",TCHAD,tonnes,2017,268547.77,INSEED - Exports
"Exports (not including petrol), volume",TCHAD,tonnes,2018,299620.48,INSEED - Exports
"Exports (not including petrol), volume",TCHAD,tonnes,2019,346523.7,INSEED - Exports
"Exports (not including petrol), volume",TCHAD,tonnes,2020,347703.875,INSEED - Exports
"Imports, value",TCHAD,Francs CFA,2004,319426000000.0,INSEED - Exports
"Imports, value",TCHAD,Francs CFA,2005,431172000000.0,INSEED - Exports
"Imports, value",TCHAD,Francs CFA,2006,556821000000.0,INSEED - Exports
"Imports, value",TCHAD,Francs CFA,2007,384488000000.0,INSEED - Exports
"Imports, value",TCHAD,Francs CFA,2008,374110000000.0,INSEED - Exports
"Imports, value",TCHAD,Francs CFA,2009,450000000000.0,INSEED - Exports
"Imports, value",TCHAD,Francs CFA,2010,550546000000.0,INSEED - Exports
"Imports, value",TCHAD,Francs CFA,2011,579123000000.0,INSEED - Exports
"Imports, value",TCHAD,Francs CFA,2012,392419000000.0,INSEED - Exports
"Imports, value",TCHAD,Francs CFA,2013,379135000000.0,INSEED - Exports
"Imports, value",TCHAD,Francs CFA,2014,550662000000.0,INSEED - Exports
"Imports, value",TCHAD,Francs CFA,2015,593083000000.0,INSEED - Exports
"Imports, value",TCHAD,Francs CFA,2016,690157000000.0,INSEED - Exports
"Imports, value",TCHAD,Francs CFA,2017,410024000000.0,INSEED - Exports
"Imports, value",TCHAD,Francs CFA,2018,429026000000.0,INSEED - Exports
"Imports, value",TCHAD,Francs CFA,2019,695697848500.0,INSEED - Exports
"Imports, value",TCHAD,Francs CFA,2020,549419768469.45,INSEED - Exports
"Imports, volume",TCHAD,tonnes,2004,588363.0,INSEED - Exports
"Imports, volume",TCHAD,tonnes,2005,722945.0,INSEED - Exports
"Imports, volume",TCHAD,tonnes,2007,641001.0,INSEED - Exports
"Imports, volume",TCHAD,tonnes,2010,1059632.0,INSEED - Exports
"Imports, volume",TCHAD,tonnes,2011,1074715.0,INSEED - Exports
"Imports, volume",TCHAD,tonnes,2012,736195.0,INSEED - Exports
"Imports, volume",TCHAD,tonnes,2013,646217.0,INSEED - Exports
"Imports, volume",TCHAD,tonnes,2014,886832.0,INSEED - Exports
"Imports, volume",TCHAD,tonnes,2015,892711.0,INSEED - Exports
"Imports, volume",TCHAD,tonnes,2016,906652.0,INSEED - Exports
"Imports, volume",TCHAD,tonnes,2017,793349.0,INSEED - Exports
"Imports, volume",TCHAD,tonnes,2018,811655.0,INSEED - Exports
"Imports, volume",TCHAD,tonnes,2019,1407922.463,INSEED - Exports
"Imports, volume",TCHAD,tonnes,2020,1285157.807237,INSEED - Exports
Période courante,Bahr-El-Gazel,Number,2016,82449.0,INSEED - Food Security
Période courante,Bahr-El-Gazel,Number,2016,3899.0,INSEED - Food Security
Période courante,Bahr-El-Gazel,Number,2017,21640.0,INSEED - Food Security
Période courante,Bahr-El-Gazel,Number,2017,13585.0,INSEED - Food Security
Période courante,Bahr-El-Gazel,Number,2018,51192.0,INSEED - Food Security
Période courante,Bahr-El-Gazel,Number,2018,10340.0,INSEED - Food Security
Période courante,Bahr-El-Gazel,Number,2019,11713.0,INSEED - Food Security
Période courante,Bahr-El-Gazel,Number,2019,24950.0,INSEED - Food Security
Période courante,Bahr-El-Gazel,Number,2020,78430.0,INSEED - Food Security
Période courante,Bahr-El-Gazel,Number,2020,15887.0,INSEED - Food Security
Période courante,Bahr-El-Gazel,Number,2021,76448.0,INSEED - Food Security
Période courante,Bahr-El-Gazel,Number,2021,30872.0,INSEED - Food Security
Période courante,Bahr-El-Gazel,Number,2022,92680.0,INSEED - Food Security
Période courante,Bahr-El-Gazel,Number,2022,24979.0,INSEED - Food Security
Période courante,Bahr-El-Gazel,Number,2023,79222.0,INSEED - Food Security
Période courante,Bahr-El-Gazel,Number,2023,50827.0,INSEED - Food Security
Période courante,Bahr-El-Gazel,Number,2024,105217.0,INSEED - Food Security
Période courante,Batha,Number,2016,67164.0,INSEED - Food Security
Période courante,Batha,Number,2016,37815.0,INSEED - Food Security
Période courante,Batha,Number,2017,12732.0,INSEED - Food Security
Période courante,Batha,Number,2017,13577.0,INSEED - Food Security
Période courante,Batha,Number,2018,88192.0,INSEED - Food Security
Période courante,Batha,Number,2018,28933.0,INSEED - Food Security
Période courante,Batha,Number,2019,9754.0,INSEED - Food Security
Période courante,Batha,Number,2019,34911.0,INSEED - Food Security
Période courante,Batha,Number,2020,34484.0,INSEED - Food Security
Période courante,Batha,Number,2020,30621.0,INSEED - Food Security
Période courante,Batha,Number,2021,82551.0,INSEED - Food Security
Période courante,Batha,Number,2021,47747.0,INSEED - Food Security
Période courante,Batha,Number,2022,71098.0,INSEED - Food Security
Période courante,Batha,Number,2022,26341.0,INSEED - Food Security
Période courante,Batha,Number,2023,51147.0,INSEED - Food Security
Période courante,Batha,Number,2023,125128.0,INSEED - Food Security
Période courante,Batha,Number,2024,142632.0,INSEED - Food Security
Période courante,Borkou,Number,2017,0.0,INSEED - Food Security
Période courante,Borkou,Number,2017,0.0,INSEED - Food Security
Période courante,Borkou,Number,2018,0.0,INSEED - Food Security
Période courante,Borkou,Number,2018,5321.0,INSEED - Food Security
Période courante,Borkou,Number,2019,14275.0,INSEED - Food Security
Période courante,Borkou,Number,2019,3018.0,INSEED - Food Security
Période courante,Borkou,Number,2020,11758.0,INSEED - Food Security
Période courante,Borkou,Number,2020,15033.0,INSEED - Food Security
Période courante,Borkou,Number,2021,38109.0,INSEED - Food Security
Période courante,Borkou,Number,2021,11405.0,INSEED - Food Security
Période courante,Borkou,Number,2022,3350.0,INSEED - Food Security
Période courante,Borkou,Number,2022,21077.0,INSEED - Food Security
Période courante,Borkou,Number,2023,9561.0,INSEED - Food Security
Période courante,Borkou,Number,2023,24600.0,INSEED - Food Security
Période courante,Borkou,Number,2024,28315.0,INSEED - Food Security
Période courante,Chari-Baguirmi,Number,2016,0.0,INSEED - Food Security
Période courante,Chari-Baguirmi,Number,2016,20561.0,INSEED - Food Security
Période courante,Chari-Baguirmi,Number,2017,0.0,INSEED - Food Security
Période courante,Chari-Baguirmi,Number,2017,0.0,INSEED - Food Security
Période courante,Chari-Baguirmi,Number,2018,0.0,INSEED - Food Security
Période courante,Chari-Baguirmi,Number,2018,0.0,INSEED - Food Security
Période courante,Chari-Baguirmi,Number,2019,17207.0,INSEED - Food Security
Période courante,Chari-Baguirmi,Number,2019,3158.0,INSEED - Food Security
Période courante,Chari-Baguirmi,Number,2020,0.0,INSEED - Food Security
Période courante,Chari-Baguirmi,Number,2020,11985.0,INSEED - Food Security
Période courante,Chari-Baguirmi,Number,2021,26844.0,INSEED - Food Security
Période courante,Chari-Baguirmi,Number,2021,39624.0,INSEED - Food Security
Période courante,Chari-Baguirmi,Number,2022,29789.0,INSEED - Food Security
Période courante,Chari-Baguirmi,Number,2022,36546.0,INSEED - Food Security
Période courante,Chari-Baguirmi,Number,2023,22863.0,INSEED - Food Security
Période courante,Chari-Baguirmi,Number,2023,85326.0,INSEED - Food Security
Période courante,Chari-Baguirmi,Number,2024,56327.0,INSEED - Food Security
Période courante,Ennedi-Est,Number,2016,0.0,INSEED - Food Security
Période courante,Ennedi-Est,Number,2016,8913.0,INSEED - Food Security
Période courante,Ennedi-Est,Number,2017,0.0,INSEED - Food Security
Période courante,Ennedi-Est,Number,2017,2181.0,INSEED - Food Security
Période courante,Ennedi-Est,Number,2018,0.0,INSEED - Food Security
Période courante,Ennedi-Est,Number,2018,0.0,INSEED - Food Security
Période courante,Ennedi-Est,Number,2019,6619.0,INSEED - Food Security
Période courante,Ennedi-Est,Number,2019,2337.0,INSEED - Food Security
Période courante,Ennedi-Est,Number,2020,5968.0,INSEED - Food Security
Période courante,Ennedi-Est,Number,2020,3567.0,INSEED - Food Security
Période courante,Ennedi-Est,Number,2021,4904.0,INSEED - Food Security
Période courante,Ennedi-Est,Number,2021,6964.0,INSEED - Food Security
Période courante,Ennedi-Est,Number,2022,10223.0,INSEED - Food Security
Période courante,Ennedi-Est,Number,2022,4285.0,INSEED - Food Security
Période courante,Ennedi-Est,Number,2023,4817.0,INSEED - Food Security
Période courante,Ennedi-Est,Number,2023,28571.0,INSEED - Food Security
Période courante,Ennedi-Est,Number,2024,39390.0,INSEED - Food Security
Période courante,Ennedi-Ouest,Number,2016,0.0,INSEED - Food Security
Période courante,Ennedi-Ouest,Number,2016,5631.0,INSEED - Food Security
Période courante,Ennedi-Ouest,Number,2017,0.0,INSEED - Food Security
Période courante,Ennedi-Ouest,Number,2017,1080.0,INSEED - Food Security
Période courante,Ennedi-Ouest,Number,2018,0.0,INSEED - Food Security
Période courante,Ennedi-Ouest,Number,2018,0.0,INSEED - Food Security
Période courante,Ennedi-Ouest,Number,2019,8475.0,INSEED - Food Security
Période courante,Ennedi-Ouest,Number,2019,1157.0,INSEED - Food Security
Période courante,Ennedi-Ouest,Number,2020,2362.0,INSEED - Food Security
Période courante,Ennedi-Ouest,Number,2020,4229.0,INSEED - Food Security
Période courante,Ennedi-Ouest,Number,2021,20691.0,INSEED - Food Security
Période courante,Ennedi-Ouest,Number,2021,20316.0,INSEED - Food Security
Période courante,Ennedi-Ouest,Number,2022,16928.0,INSEED - Food Security
Période courante,Ennedi-Ouest,Number,2022,6992.0,INSEED - Food Security
Période courante,Ennedi-Ouest,Number,2023,24142.0,INSEED - Food Security
Période courante,Ennedi-Ouest,Number,2023,5736.0,INSEED - Food Security
Période courante,Ennedi-Ouest,Number,2024,21534.0,INSEED - Food Security
Période courante,Guéra,Number,2016,48885.0,INSEED - Food Security
Période courante,Guéra,Number,2016,65411.0,INSEED - Food Security
